Country Name,Country Code,Series Name,2015 [YR2015]
Belgium,BEL,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Belgium,BEL,CO2 emissions from gaseous fuel consumption (% of total),..
Belgium,BEL,GDP (current US$),4.54E+11
Belgium,BEL,GDP growth (annual %),1.373937182
Belgium,BEL,GDP per capita (current US$),40231.28317
Belgium,BEL,"Population, total",11285721
Belgium,BEL,Surface area (sq. km),30530
Belize,BLZ,CO2 emissions (kg per PPP $ of GDP),..
Belize,BLZ,CO2 emissions (kt),..
Belize,BLZ,CO2 emissions (metric tons per capita),..
Belize,BLZ,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Belize,BLZ,CO2 emissions from gaseous fuel consumption (% of total),..
Belize,BLZ,GDP (current US$),1763000000
Belize,BLZ,GDP growth (annual %),1.918485814
Belize,BLZ,GDP per capita (current US$),4906.940691
Belize,BLZ,"Population, total",359287
Belize,BLZ,Surface area (sq. km),22970
Benin,BEN,CO2 emissions (kg per PPP $ of GDP),..
Benin,BEN,CO2 emissions (kt),..
Benin,BEN,CO2 emissions (metric tons per capita),..
Benin,BEN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Benin,BEN,CO2 emissions from gaseous fuel consumption (% of total),..
Benin,BEN,GDP (current US$),8476125181
Benin,BEN,GDP growth (annual %),5.240447102
Benin,BEN,GDP per capita (current US$),779.0678678
Benin,BEN,"Population, total",10879829
Benin,BEN,Surface area (sq. km),114760
Bermuda,BMU,CO2 emissions (kg per PPP $ of GDP),..
Bermuda,BMU,CO2 emissions (kt),..
Bermuda,BMU,CO2 emissions (metric tons per capita),..
Bermuda,BMU,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Bermuda,BMU,CO2 emissions from gaseous fuel consumption (% of total),..
Bermuda,BMU,GDP (current US$),..
Bermuda,BMU,GDP growth (annual %),..
Bermuda,BMU,GDP per capita (current US$),..
Bermuda,BMU,"Population, total",65235
Bermuda,BMU,Surface area (sq. km),50
Bhutan,BTN,CO2 emissions (kg per PPP $ of GDP),..
Bhutan,BTN,CO2 emissions (kt),..
Bhutan,BTN,CO2 emissions (metric tons per capita),..
Bhutan,BTN,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Bhutan,BTN,CO2 emissions from gaseous fuel consumption (% of total),..
Bhutan,BTN,GDP (current US$),1962221696
Bhutan,BTN,GDP growth (annual %),3.254254739
Bhutan,BTN,GDP per capita (current US$),2532.454468
Bhutan,BTN,"Population, total",774830
Bhutan,BTN,Surface area (sq. km),38394
Bolivia,BOL,CO2 emissions (kg per PPP $ of GDP),..
Bolivia,BOL,CO2 emissions (kt),..
Bolivia,BOL,CO2 emissions (metric tons per capita),..
Bolivia,BOL,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Bolivia,BOL,CO2 emissions from gaseous fuel consumption (% of total),..
Bolivia,BOL,GDP (current US$),33196819572
Bolivia,BOL,GDP growth (annual %),3.961728072
Bolivia,BOL,GDP per capita (current US$),3095.359693
Bolivia,BOL,"Population, total",10724705
Bolivia,BOL,Surface area (sq. km),1098580
Bosnia and Herzegovina,BIH,CO2 emissions (kg per PPP $ of GDP),..
Bosnia and Herzegovina,BIH,CO2 emissions (kt),..
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),..
Bosnia and Herzegovina,BIH,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
