,All Causes,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,STDs excluding HIV,Syphilis,Chlamydia,Gonorrhoea,Trichomoniasis,Genital herpes,Other STDs,HIV/AIDS,Diarrhoeal diseases,Childhood-cluster diseases,Whooping cough,Diphtheria,Measles,Tetanus,Meningitis,Encephalitis,Hepatitis,Acute hepatitis A,Acute hepatitis B,Acute hepatitis C,Acute hepatitis E,Parasitic and vector diseases,Malaria,African Trypanosomiasis,Chagas disease,Schistosomiasis,Leishmaniasis,lymphatic filariasis,Onchocerciasis,Cysticercosis,Echinococcosis,Dengue,Trachoma,Yellow fever,Rabies,Intestinal nematode infections,Ascariasis,Trichuriasis,Hookworm disease,Food-bourne trematodes,Leprosy,Other infectious diseases,Respiratory Infectious ,Lower respiratory infections,Upper respiratory infections,Otitis media,Maternal conditions,Neonatal conditions,Preterm birth complications,Birth asphyxia and birth trauma,Neonatal sepsis and infections,Other neonatal conditions,Nutritional deficiencies,Protein-energy malnutrition,Iodine deficiency,Vitamin A deficiency,Iron-deficiency anaemia,Other nutritional deficiencies,Noncommunicable diseases,Malignant neoplasms,Mouth and oropharynx cancers,Lip and oral cavity,Nasopharynx,Other pharynx,Oesophagus cancer,Stomach cancer,Colon and rectum cancers,Liver cancer,Liver cancer secondary to hepatitis B,Liver cancer secondary to hepatitis C,Liver cancer secondary to alcohol use,Other liver cancer,Pancreas cancer,"Trachea, bronchus, lung cancers",Melanoma and other skin cancers,Malignant skin melanoma,Non-melanoma skin cancer,Breast cancer,Cervix uteri cancer,Corpus uteri cancer,Ovary cancer,Prostate cancer,Testicular cancer,Kidney cancer,Bladder cancer,Brain and nervous system cancers,Gallbladder and biliary tract cancer,Larynx cancer,Thyroid cancer,Mesothelioma,"Lymphomas, multiple myeloma",Hodgkin lymphoma,Non-Hodgkin lymphoma,Multiple myeloma,Leukaemia,,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Thalassaemias,Sickle cell disorders and trait,Other haemoglobinopathies and haemolytic anaemias,"Other endocrine, blood and immune disorders",Mental and substance use disorders,Depressive disorders,Major depressive disorder,Dysthymia,Bipolar disorder,Schizophrenia,Alcohol use disorders,Drug use disorders,Opioid use disorders,Cocaine use disorders,Amphetamine use disorders,Cannabis use disorders,Other drug use disorders,Anxiety disorders,Eating disorders,Autism and Asperger syndrome,Childhood behavioural disorders,Attention deficit/hyperactivity syndrome,Conduct disorder,Idiopathic intellectual disability,Other mental and behavioural disorders,Neurological conditions,Alzheimer disease and other dementias,Parkinson disease,Epilepsy,Multiple sclerosis,Migraine,Non-migraine headache,Other neurological conditions,Sense organ diseases,Cardiovascular diseases,Rheumatic heart disease,Hypertensive heart disease,Ischaemic heart disease,Stroke,Ischaemic stroke,Haemorrhagic stroke,"Cardiomyopathy, myocarditis, endocarditis",Other circulatory diseases,Respiratory diseases,Chronic obstructive pulmonary disease,Asthma,Other respiratory diseases,Digestive diseases,Peptic ulcer disease,Cirrhosis of the liver,Cirrhosis due to hepatitis B,Cirrhosis due to hepatitis C,Cirrhosis due to alcohol use,Other liver cirrhosis,Appendicitis,Gastritis and duodenitis,Paralytic ileus and intestinal obstruction,Inflammatory bowel disease,Gallbladder and biliary diseases,Pancreatitis,Other digestive diseases,Genitourinary diseases,Kidney diseases,Acute glomerulonephritis,Chronic kidney disease due to diabetes,Other chronic kidney disease,Benign prostatic hyperplasia,Urolithiasis,Other urinary diseases,Infertility,Gynecological diseases,Skin diseases,Musculoskeletal diseases,Rheumatoid arthritis,Osteoarthritis,Gout,Back and neck pain,Other musculoskeletal disorders,Congenital anomalies,Neural tube defects,Cleft lip and cleft palate,Down syndrome,Congenital heart anomalies,Other chromosomal anomalies,Other congenital anomalies,Oral conditions,Sudden infant death syndrome,Injuries,Unintentional injuries,Road injury,Poisonings,Falls,"Fire, heat and hot substances",Drowning,Exposure to mechanical forces,Natural disasters,Other unintentional injuries,Intentional injuries,Self-harm,Interpersonal violence,Collective violence and legal intervention
BDI,104.5,59.4,27.6,2.6,1.0,0.9,0.0,0.0,.,.,0.0,3.1,9.2,1.0,0.4,0.0,0.1,0.5,2.5,0.2,0.3,0.0,0.2,0.0,0.1,6.3,5.2,.,.,0.2,.,.,.,0.2,0.0,0.0,.,0.4,0.2,0.0,0.0,.,.,.,0.0,1.3,11.5,11.4,0.0,0.0,3.0,12.2,4.8,4.4,2.2,0.7,5.2,3.7,0.0,.,1.4,0.1,32.5,6.6,0.4,0.2,0.1,0.0,0.6,0.2,0.3,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.5,1.2,0.0,0.1,0.7,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.3,0.0,0.2,1.2,0.2,1.0,1.2,0.0,0.7,0.4,0.1,0.2,.,.,.,.,0.0,0.2,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.5,0.5,0.0,0.9,0.0,.,.,0.1,.,11.2,0.3,1.4,3.2,4.3,1.6,2.6,0.4,1.7,2.1,1.1,0.8,0.2,4.2,0.6,1.7,0.3,0.3,0.9,0.2,0.2,0.1,0.9,0.1,0.1,0.1,0.3,0.9,0.5,0.0,0.2,0.4,.,0.0,0.3,.,0.1,0.3,0.1,0.0,.,.,.,0.1,2.8,0.7,0.0,0.1,1.1,0.2,0.7,.,0.1,12.6,11.0,3.7,0.6,1.2,0.9,1.5,0.7,.,2.4,1.6,0.9,0.7,.
KHM,93.6,26.4,15.1,8.0,0.2,0.2,0.0,0.0,.,.,0.0,2.1,1.6,0.4,0.3,0.0,0.0,0.1,0.6,0.2,0.2,0.0,0.1,0.0,0.0,0.5,0.1,.,.,0.0,.,.,.,0.0,0.1,0.1,.,.,0.2,0.1,0.0,.,.,0.1,0.1,1.2,6.1,6.1,0.0,0.0,0.5,4.3,1.7,1.3,0.9,0.3,0.3,0.2,0.0,.,0.0,0.0,57.4,12.4,0.7,0.4,0.2,0.2,0.2,0.5,0.7,2.3,0.9,0.4,0.8,0.3,0.2,1.2,0.2,0.1,0.1,0.6,0.8,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.2,0.1,0.2,0.0,0.6,0.0,0.5,0.1,0.6,2.2,0.2,2.2,0.6,0.2,0.0,0.2,0.2,0.4,.,.,.,.,0.0,0.3,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.7,1.3,0.0,0.3,0.0,.,.,0.1,.,26.4,0.5,1.4,12.5,10.3,3.4,6.9,0.6,1.1,5.2,2.8,2.1,0.3,3.9,0.6,2.1,0.7,0.3,0.8,0.3,0.1,0.1,0.3,0.0,0.2,0.2,0.3,2.8,2.4,0.0,0.8,1.6,.,0.0,0.4,.,0.0,0.1,0.1,0.0,.,.,.,0.1,1.6,0.2,0.0,0.0,0.9,0.0,0.4,.,0.0,9.8,7.6,3.0,0.1,0.7,0.5,1.9,0.3,.,1.2,2.2,1.9,0.3,.
CMR,243.2,134.2,78.8,6.8,2.3,2.3,0.0,0.0,.,.,0.0,33.3,14.0,2.6,0.9,0.0,1.3,0.3,5.3,0.4,0.8,0.1,0.4,0.0,0.3,10.6,9.2,0.0,.,0.7,0.0,.,.,0.5,0.0,0.0,.,0.1,0.2,0.1,0.1,.,.,.,0.0,2.5,25.4,25.3,0.0,0.0,4.9,19.9,7.4,7.7,3.8,1.1,5.2,4.8,0.0,.,0.3,0.1,83.9,11.0,0.8,0.2,0.2,0.3,0.1,0.3,0.4,0.8,0.4,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.0,1.4,1.2,0.1,0.3,1.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,1.3,0.1,1.2,0.1,0.3,2.3,0.4,4.6,3.4,0.0,2.7,0.2,0.5,1.3,.,.,.,.,0.0,0.4,0.9,0.9,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,2.7,1.3,0.1,1.1,0.0,.,.,0.2,.,32.4,0.6,1.5,12.2,14.1,5.8,8.3,1.0,3.1,5.0,2.5,1.8,0.7,11.0,0.9,6.4,1.8,0.7,3.1,0.9,0.4,0.3,1.2,0.1,0.4,0.5,0.8,5.0,3.6,0.0,0.4,3.1,.,0.0,1.4,.,0.1,0.5,0.3,0.0,.,.,.,0.3,6.0,0.8,0.0,0.2,2.7,0.3,2.0,.,0.2,25.1,19.5,6.6,0.7,2.3,1.4,2.1,1.9,.,4.6,5.6,2.8,2.7,0.1
CAN,248.9,13.8,6.0,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.3,2.2,0.0,0.0,0.0,.,0.0,0.1,0.1,0.1,0.0,0.1,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,.,.,.,0.0,.,.,.,.,.,0.0,3.2,6.4,6.4,0.0,0.0,0.0,0.8,0.5,0.2,0.1,0.1,0.6,0.2,0.0,.,0.3,0.0,219.4,76.8,1.3,0.7,0.1,0.5,2.1,2.2,9.5,2.4,0.3,1.0,0.7,0.3,4.3,20.4,1.6,1.1,0.5,5.8,0.6,1.0,1.7,4.5,0.0,1.9,2.4,2.2,0.6,0.5,0.2,0.5,4.8,0.1,3.0,1.6,2.9,3.3,1.5,6.8,3.2,0.0,0.0,0.3,2.9,2.5,.,.,.,.,0.1,0.9,1.5,1.0,0.3,0.1,.,0.2,.,0.0,.,.,.,.,.,.,29.6,23.5,2.4,0.3,0.5,.,.,2.7,.,62.3,0.4,1.5,37.9,12.7,8.7,4.0,1.5,8.4,18.4,13.4,0.3,4.7,10.1,0.4,3.3,0.5,1.4,0.9,0.5,0.0,0.1,0.9,0.2,0.6,0.4,4.3,5.2,3.8,0.0,1.6,2.1,.,0.0,1.3,.,0.0,0.4,1.4,0.3,.,.,.,1.1,1.1,0.0,0.0,0.2,0.3,0.1,0.5,.,0.1,15.7,10.7,2.1,0.2,5.1,0.2,0.3,0.3,.,2.5,5.0,4.4,0.6,.
CPV,2.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,.,.,0.0,0.0,0.0,.,.,0.0,.,.,.,.,.,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,1.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.1,0.0,0.0,0.0,.,.,0.0,.,1.0,0.0,0.0,0.4,0.5,0.2,0.3,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.1,0.0,0.0,.
CAF,67.2,40.4,23.6,2.1,0.6,0.6,0.0,0.0,.,.,0.0,8.0,4.9,1.3,0.3,0.0,0.7,0.4,1.7,0.1,0.1,0.0,0.1,0.0,0.0,4.3,3.6,0.4,.,0.1,0.0,.,.,0.1,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.5,7.0,7.0,0.0,0.0,1.5,6.2,2.3,2.5,1.1,0.3,2.2,1.5,0.0,.,0.6,0.1,19.9,2.3,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.4,0.1,0.8,0.9,0.0,0.6,0.2,0.2,0.1,.,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.9,0.5,0.0,0.4,0.0,.,.,0.0,.,8.8,0.2,0.9,2.7,3.9,1.4,2.5,0.3,0.8,1.9,1.0,0.8,0.1,2.2,0.4,0.9,0.2,0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.2,0.5,0.3,0.0,0.1,0.2,.,0.0,0.2,.,0.0,0.1,0.0,0.0,.,.,.,0.0,1.1,0.3,0.0,0.1,0.4,0.1,0.3,.,0.0,6.9,4.6,1.6,0.2,0.2,0.4,0.7,0.4,.,1.1,2.2,0.9,0.6,0.8
TCD,181.2,118.8,57.6,3.1,2.0,2.0,0.0,0.0,.,.,0.0,10.1,19.4,3.0,1.0,0.3,0.4,1.3,7.5,0.4,0.6,0.1,0.3,0.0,0.2,9.3,7.5,0.3,.,0.4,0.0,.,.,0.4,0.0,0.0,.,0.2,0.5,0.0,0.0,.,.,.,0.0,1.8,28.4,28.4,0.0,0.0,5.1,21.8,8.4,8.6,3.8,1.0,6.0,5.6,0.0,.,0.3,0.1,45.0,5.3,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.3,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.8,0.5,0.0,0.2,0.4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.2,0.8,0.3,2.1,1.7,0.0,1.3,0.3,0.2,0.6,.,.,.,.,0.0,0.2,0.4,0.3,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,1.4,0.5,0.0,0.7,0.0,.,.,0.1,.,16.2,0.5,0.7,5.9,7.0,2.7,4.3,0.5,1.6,2.9,1.2,1.4,0.3,7.3,0.7,3.8,1.9,0.4,0.8,0.8,0.3,0.2,0.8,0.1,0.3,0.2,0.8,2.4,1.6,0.0,0.2,1.4,.,0.0,0.7,.,0.0,0.2,0.1,0.0,.,.,.,0.1,4.5,1.3,0.0,0.1,1.9,0.2,0.9,.,0.1,17.3,14.7,3.4,0.7,1.3,1.0,2.5,1.7,.,4.2,2.6,1.2,1.3,0.1
CHL,104.9,9.2,2.8,0.5,0.0,0.0,0.0,0.0,.,.,0.0,0.5,0.4,0.0,0.0,0.0,.,0.0,0.1,0.0,0.0,0.0,0.0,0.0,.,0.1,.,.,0.1,.,.,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,1.0,5.0,5.0,0.0,0.0,0.1,0.7,0.5,0.1,0.1,0.1,0.7,0.6,0.0,.,0.1,0.0,87.9,25.8,0.3,0.2,0.0,0.1,0.7,3.7,2.6,1.2,0.2,0.5,0.5,0.1,1.3,3.1,0.5,0.2,0.3,1.5,0.7,0.2,0.4,2.3,0.1,0.8,0.5,0.5,1.9,0.2,0.1,0.1,1.3,0.1,0.7,0.5,0.9,1.0,1.2,4.4,1.1,0.0,0.0,0.2,0.8,0.6,.,.,.,.,0.0,0.4,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,5.8,4.0,0.7,0.3,0.0,.,.,0.8,.,28.8,0.1,3.1,11.8,9.5,5.3,4.3,0.8,3.6,6.9,3.7,0.3,3.0,7.8,0.2,2.8,0.7,1.0,0.9,0.2,0.0,0.0,0.6,0.0,0.4,0.3,3.4,3.6,2.5,0.0,1.0,1.5,.,0.0,1.1,.,0.0,0.3,0.5,0.1,.,.,.,0.3,1.0,0.1,0.0,0.1,0.3,0.1,0.4,.,0.0,7.8,5.2,2.1,0.1,1.0,0.3,0.3,0.2,0.1,1.1,2.6,1.8,0.8,.
CHN,9911.3,423.0,118.6,33.6,1.0,1.0,0.0,0.0,.,.,0.0,23.1,9.2,2.8,1.5,.,0.6,0.7,6.2,3.6,8.9,0.4,6.8,0.3,1.4,17.5,0.0,.,.,0.1,0.3,.,.,1.7,14.5,0.1,.,.,0.9,4.4,0.1,.,.,4.3,1.1,7.1,217.7,217.1,0.4,0.2,4.7,68.8,33.2,25.9,5.3,4.4,13.3,10.5,0.1,.,0.2,2.4,8792.0,2309.6,38.6,12.2,21.6,4.8,196.6,326.5,149.0,396.8,210.2,16.0,129.1,41.5,69.7,635.6,19.6,6.7,12.8,49.0,29.1,16.5,15.2,24.4,0.9,27.4,29.4,53.0,41.9,13.3,5.7,2.9,38.4,1.1,28.2,9.2,57.2,72.9,40.4,166.0,26.8,2.1,0.0,8.2,16.4,49.7,.,.,.,.,9.2,12.6,27.9,21.2,1.0,2.2,.,3.6,.,0.1,.,.,.,.,.,.,345.1,312.8,9.8,12.2,1.4,.,.,8.9,.,4224.1,85.6,280.6,1597.2,2098.6,854.5,1244.1,36.6,125.5,1061.3,1011.9,27.7,21.6,289.4,42.3,161.4,101.1,9.0,32.3,18.9,2.0,17.6,13.0,5.9,15.0,11.5,20.9,205.4,187.4,7.4,51.6,128.4,.,2.9,13.5,.,1.6,7.0,22.0,11.0,.,.,.,11.1,44.7,2.3,0.5,1.3,29.7,0.4,10.5,.,0.7,696.3,543.4,268.1,22.4,105.6,10.4,52.0,39.2,0.0,45.7,152.9,138.6,11.9,2.4
COL,246.7,26.0,9.4,1.4,0.1,0.1,0.0,0.0,.,.,0.0,3.6,0.8,0.1,0.0,0.0,.,0.0,0.4,0.4,0.1,0.0,0.1,0.0,.,0.5,0.0,.,0.2,.,0.0,.,.,0.0,0.0,0.2,.,0.0,0.0,0.0,0.0,.,.,.,0.0,1.9,9.0,9.0,0.0,0.0,0.6,4.8,2.5,0.7,0.9,0.7,2.3,2.0,0.0,.,0.2,0.1,178.9,46.8,0.8,0.5,0.1,0.2,0.9,6.8,4.2,2.3,0.6,0.9,0.6,0.2,1.9,5.5,0.9,0.4,0.5,3.8,2.7,0.3,1.1,3.1,0.2,0.7,0.6,1.5,1.2,0.5,0.4,0.1,2.6,0.2,1.6,0.7,2.5,2.3,3.8,8.5,1.8,0.0,0.0,0.4,1.4,0.6,.,.,.,.,0.0,0.1,0.4,0.3,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,3.5,1.0,0.2,0.7,0.1,.,.,1.4,.,69.9,0.2,4.6,41.3,16.2,5.8,10.5,1.3,6.1,17.2,15.0,0.3,1.8,11.9,0.7,2.7,0.5,0.7,1.1,0.4,0.3,0.2,0.9,0.1,1.2,0.5,5.3,7.5,5.4,0.0,2.0,3.4,.,0.0,2.1,.,0.0,1.4,2.6,0.3,.,.,.,2.3,3.4,0.1,0.0,0.0,1.9,0.1,1.3,.,0.1,41.8,15.2,9.1,0.2,1.7,0.1,1.2,0.6,0.1,2.2,26.6,3.0,23.5,0.2
COM,5.8,2.8,1.0,0.1,0.1,0.1,0.0,0.0,.,.,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,.,.,.,.,.,0.0,0.0,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,0.1,0.7,0.7,0.0,0.0,0.1,0.8,0.4,0.2,0.1,0.0,0.2,0.1,0.0,.,0.1,0.0,2.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,.,.,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.1,0.0,0.0,0.1,0.0,.,.,0.0,.,1.0,0.0,0.1,0.3,0.4,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,0.0,.,0.0,0.0,0.0,0.0,.,.,.,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,0.7,0.5,0.2,0.0,0.1,0.0,0.1,0.0,.,0.1,0.1,0.1,0.1,.
COG,34.8,18.6,11.9,2.2,0.1,0.1,0.0,0.0,.,.,0.0,4.4,1.2,1.3,0.2,0.0,1.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.7,0.0,.,0.1,.,.,.,0.0,0.0,0.0,.,0.1,0.0,0.0,0.0,.,.,.,0.0,0.2,2.9,2.9,0.0,0.0,0.6,2.5,1.1,0.8,0.4,0.1,0.7,0.4,0.0,.,0.2,0.0,12.8,1.7,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.8,0.5,0.0,0.2,0.1,0.1,0.1,.,.,.,.,0.0,0.0,0.1,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.5,0.3,0.0,0.2,0.0,.,.,0.0,.,5.7,0.1,0.5,2.2,2.2,0.9,1.3,0.2,0.5,1.0,0.6,0.3,0.1,1.1,0.1,0.6,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.4,0.2,0.0,0.1,0.1,.,0.0,0.1,.,0.0,0.1,0.0,0.0,.,.,.,0.0,0.9,0.2,0.0,0.0,0.3,0.1,0.3,.,0.0,3.5,2.5,1.2,0.1,0.1,0.2,0.3,0.2,.,0.4,0.9,0.4,0.5,.
CRI,22.9,1.5,0.5,0.1,0.0,0.0,0.0,0.0,.,.,0.0,0.2,0.1,0.0,0.0,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,0.0,.,0.0,.,.,0.0,0.0,0.0,.,.,.,0.0,0.0,.,.,.,0.0,0.1,0.7,0.7,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,19.0,5.4,0.1,0.0,0.0,0.0,0.1,0.8,0.6,0.3,0.1,0.1,0.1,0.0,0.3,0.4,0.1,0.0,0.1,0.4,0.2,0.1,0.1,0.5,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.4,0.0,0.2,0.1,0.3,0.2,0.3,0.9,0.2,0.0,0.0,0.1,0.1,0.1,.,.,.,.,0.0,0.1,0.0,0.0,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,0.9,0.5,0.1,0.1,0.0,.,.,0.3,.,6.7,0.1,0.5,3.8,1.5,0.7,0.8,0.2,0.6,1.5,1.1,0.0,0.4,1.7,0.1,0.4,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,1.0,0.8,0.6,0.0,0.3,0.3,.,0.0,0.2,.,0.0,0.1,0.2,0.0,.,.,.,0.2,0.3,0.0,0.0,0.0,0.1,0.0,0.1,.,0.0,2.3,1.5,0.7,0.0,0.1,0.0,0.1,0.0,.,0.5,0.8,0.4,0.4,.
CIV,284.8,151.1,77.6,4.9,2.1,2.1,0.0,0.0,.,.,0.0,20.4,16.0,2.2,0.9,0.0,0.6,0.7,8.9,0.7,1.4,0.1,0.8,0.0,0.5,16.9,14.1,0.1,.,1.2,0.0,.,.,0.9,0.0,0.0,.,0.2,0.4,0.0,0.0,.,.,.,0.1,3.8,32.8,32.7,0.0,0.0,7.0,27.9,11.0,9.2,6.4,1.4,5.9,5.2,0.0,.,0.6,0.1,102.3,10.0,0.2,0.1,0.0,0.0,0.1,0.6,0.6,2.3,1.1,0.3,0.7,0.2,0.3,0.2,0.1,0.1,0.0,1.3,0.9,0.1,0.2,1.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.1,1.2,0.4,4.9,4.3,0.2,3.1,0.5,0.4,1.5,.,.,.,.,0.0,0.6,0.9,0.9,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,3.1,1.1,0.1,1.5,0.0,.,.,0.3,.,41.5,0.8,1.7,16.6,17.6,6.0,11.6,1.2,3.5,6.9,3.4,2.7,0.9,16.7,1.4,10.2,4.2,1.0,3.5,1.5,0.5,0.4,1.6,0.1,0.5,0.6,1.2,5.8,4.2,0.0,0.5,3.7,.,0.0,1.6,.,0.1,0.5,0.3,0.0,.,.,.,0.3,6.3,1.1,0.0,0.2,2.9,0.3,1.8,.,0.1,31.4,24.6,5.5,0.9,2.6,2.7,3.6,2.7,.,6.6,6.8,4.1,2.7,.
HRV,54.1,1.1,0.4,0.0,0.0,0.0,.,.,.,.,.,0.0,0.0,0.0,.,0.0,.,.,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,.,.,.,.,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.,0.2,0.6,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,50.2,14.1,0.4,0.2,0.0,0.2,0.2,0.9,2.2,0.5,0.1,0.1,0.3,0.0,0.8,2.8,0.3,0.2,0.1,1.1,0.2,0.2,0.3,0.9,0.0,0.4,0.5,0.5,0.3,0.2,0.0,0.1,0.6,0.0,0.4,0.2,0.4,0.4,0.3,1.7,0.1,0.0,0.0,0.0,0.0,0.4,.,.,.,.,0.1,0.2,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,2.1,1.2,0.4,0.1,0.1,.,.,0.4,.,25.6,0.2,1.1,14.5,7.5,4.5,3.0,0.4,2.0,2.3,2.1,0.1,0.1,2.2,0.2,1.0,0.3,0.2,0.3,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.5,1.2,0.9,0.0,0.3,0.5,.,0.0,0.4,.,0.0,0.0,0.1,0.1,.,.,.,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,.,0.0,2.8,2.0,0.4,0.0,1.2,0.0,0.1,0.0,.,0.3,0.8,0.7,0.0,.
CUB,94.0,7.6,1.2,0.0,0.0,0.0,0.0,0.0,.,.,0.0,0.3,0.3,0.0,.,0.0,.,0.0,0.1,0.0,0.1,0.0,0.1,0.0,.,0.0,.,.,.,.,.,.,.,0.0,0.0,0.0,.,.,.,0.0,0.0,.,.,.,0.0,0.2,6.1,6.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,.,0.1,0.0,78.9,24.0,0.8,0.4,0.1,0.3,0.8,0.9,2.6,0.8,0.3,0.2,0.2,0.1,0.9,5.5,0.4,0.1,0.3,1.6,0.6,0.6,0.3,2.9,0.0,0.3,0.7,0.7,0.2,0.9,0.1,0.0,1.0,0.1,0.6,0.3,0.6,0.8,0.6,2.4,0.3,0.0,0.0,0.1,0.2,0.6,.,.,.,.,0.1,0.5,0.1,0.1,0.0,0.0,.,0.0,.,0.0,.,.,.,.,.,.,5.7,4.5,0.5,0.1,0.1,.,.,0.5,.,34.0,0.1,1.8,19.5,9.1,5.5,3.6,0.8,2.6,5.2,4.6,0.3,0.4,3.9,0.4,1.5,0.5,0.3,0.6,0.2,0.1,0.1,0.4,0.0,0.2,0.2,1.0,1.2,1.0,0.0,0.3,0.7,.,0.0,0.1,.,0.0,0.2,0.3,0.1,.,.,.,0.3,0.4,0.0,0.0,0.0,0.1,0.0,0.2,.,0.0,7.4,5.3,0.9,0.0,2.3,0.0,0.2,0.1,.,1.7,2.2,1.6,0.6,.
